cuisine,Categories_final_edit,Date,Name,Street_Address,Amount,Description,City,State,Zip,Clarified_Name,Clarified_Purpose,complete_address,lat,lon
American,Dinner Meeting W/ Colleagues To Discuss Legislation,6/22/16,21st Amendment,150 bowdoin st,198.36,Dinner Meeting W/ Colleagues To Discuss Legislation,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner re session,7/7/17,21st Amendment,150 bowdoin st,385.96,Dinner re session,Boston,Ma,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner Staff Health Care Debate,11/8/17,21st Amendment,bowdoin st,16.05,Dinner Staff Health Care Debate,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner to discuss campaign,5/20/16,21st Amendment,150 bowdoin st,46,Dinner to discuss campaign,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner to discuss year end budget cuts with colleagues,12/11/16,21st Amendment,bowdoin st,131.01,Dinner to discuss year end budget cuts with colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner w leg re: budget amendments,2/16/16,21st Amendment,150 bowdoin st,147.01,Dinner w leg re: budget amendments,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner W Legislators & Staff During Sat Session,7/31/16,21st Amendment,130 bowdoin st,137.3,Dinner W Legislators & Staff During Sat Session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner W/ Colleagues To Discuss Budget After Event,4/27/16,21st Amendment,150 bowdoin st,149,Dinner W/ Colleagues To Discuss Budget After Event,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner W/ Staff and Volunteers Following Event,4/5/17,21st Amendment,150 bowdoin st,68.5,Dinner W/ Staff and Volunteers Following Event,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner W/colleagues Discussing Legislation,2/10/17,21st Amendment,150 bowdoin st,88,Dinner W/colleagues Discussing Legislation,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Restaurant,11/18/16,21st Amendment,150 bowdoin st,47.32,Dinner with Colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner with Colleagues during Budget Session,5/30/17,21st Amendment,150 bowdoin st,61.79,Dinner with Colleagues during Budget Session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,7/17/17,21st Amendment,155 bowdoin st,127.73,dinner with colleagues on senior housing,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Restaurant,4/26/17,21st Amendment,150 bowdoin st,72.99,Dinner with Colleagues to discuss budget,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Restaurant,4/27/16,21st Amendment,150 bowdoin st,60,Dinner with colleagues to discuss budget,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,4/21/17,21st Amendment,150 bowdoin st,64.63,dinner with colleagues to discuss budget,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Restaurant,8/28/17,21st Amendment,150 bowdoin st,154.4,Dinner with Colleagues to Discuss Legislative Issues,Boston,MA,02108-2702,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner with Collegues - post DNC,7/31/16,21st Amendment,150 bowdoin st,61.12,Dinner with Collegues - post DNC,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,5/21/16,21st Amendment,beacon st,192.6,dinner with constituent  discussing pending issues,Boston,ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,6/30/16,21st Amendment,,296.27,dinner with constituents to discuss upcoming bill,Boston,ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner with Legislative Colleagues Discussing Iwo Jima Event,2/22/17,21st Amendment,150 bowdoin st,166.94,Dinner with Legislative Colleagues Discussing Iwo Jima Event,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner With Legislators To Discuss Session,11/2/17,21st Amendment,150 bowdoin st,134.41,Dinner With Legislators To Discuss Session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Restaurant,4/28/16,21st Amendment,150 bowdoin st,56.81,District Dinner,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,7/26/17,21st Amendment,150 bowdoin st,72.5,Drinks & Appetizers For Colleagues After Formal Session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,6/21/16,21st Amendment,,27.29,drinks with constituents to discuss budget items,Boston,ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Energy Meeting Dinner,2/11/16,21st Amendment,150 bowdoin st,26.87,Energy meeting to discuss energy issues,Boston,Ma,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food and beverages with colleagues after session,1/8/16,21st Amendment,150 bowdoin st,75,Food and beverages with colleagues after session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food,1/28/16,21st Amendment,150 bowdoin st,78,food and beverages with Colleagues to Discuss Session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food and beverages with colleagues to discuss session,6/9/16,21st Amendment,150 bowdoin st,48,Food and beverages with colleagues to discuss session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food and beverages with colleagues to discuss session,2/8/16,21st Amendment,150 bowdoin st,88,Food and beverages with colleagues to discuss session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food and beverages with colleaguseat end of session,8/5/16,21st Amendment,150 bowdoin st,79.92,Food and beverages with colleaguseat end of session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,2/15/17,21st Amendment,150 bowdoin st,110,Food and Refreshments With Colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food and refreshments with Colleagues to Discuss Session,1/22/16,21st Amendment,150 bowdoin st,52.03,food and refreshments with Colleagues to Discuss Session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food bev colleagues re session,6/15/17,21st Amendment,150 bowdoin st,71,food bev colleagues re session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food bev staff,2/3/17,21st Amendment,150 bowdoin st,63.5,food bev staff,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food bev with colleagues after holiday party,12/20/17,21st Amendment,150 bowdoin st,106.5,food bev with colleagues after holiday party,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food bev with constituent,11/30/17,21st Amendment,150 bowdoin st,63,food bev with constituent,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food for Beacon Hill fundraiser,11/14/17,21st Amendment,150 bowdoin st,220.58,Food for Beacon Hill fundraiser,Boston,MA,02108-2702,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food,7/30/16,21st Amendment,,223.3,food for event,Boston,ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,5/22/17,21st Amendment,150 bowdoin st,460,Food for Fundraising Event,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food,10/10/17,21st Amendment,beacon st,53.74,food for late night working session,Boston,ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food,11/9/17,21st Amendment,,145.68,food for late night working session,Boston,ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,food,5/2/17,21st Amendment,beacon,115.03,food for staff for late night working session,Boston,ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,7/14/16,21st Amendment,150 bowdoin st,56.08,Food for staff working lunch,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,5/4/16,21st Amendment,150 bowdoin st,52.87,Food for staff working lunch,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,7/23/16,21st Amendment,150 bowdoin st,79.02,Food for staff/working meal,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,5/24/16,21st Amendment,150 bowdoin st,66.34,Food for Staff/working meal,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,5/25/17,21st Amendment,beacon st,48.81,Food/Staff/Budget Week,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,formal session luncheon for staff,8/1/16,21st Amendment,,213.53,formal session luncheon for staff,Boston,Ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,3/31/16,21st Amendment,150 bowdoin st,52.67,Fundraising Meeting Expense: Meals,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Hosted Lunch For Lwd Committee Members,3/21/17,21st Amendment,150 bowdoin st,186.22,Hosted Lunch For Lwd Committee Members,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Intern farewell luncheon,7/14/17,21st Amendment,150 bowdoin st,86.09,Intern farewell luncheon,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Intern Goodbye Lunch,8/24/16,21st Amendment,130 bowdoin st,48.16,Intern Goodbye Lunch,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,intern luncheon,8/24/17,21st Amendment,bowdoin st,280.69,intern luncheon,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Judiciary staff working luncheon,10/31/17,21st Amendment,150 bowdoin st,80.21,Judiciary staff working luncheon,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Low Carb. Lunch For Senate Caucas,5/25/17,21st Amendment,150 bowdoin st,14.98,Low Carb. Lunch For Senate Caucas,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,lunch,2/22/16,21st Amendment,150 bodoin st,85,lunch,Boston,MA,,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch - Nick Buller complete streets grant,1/26/17,21st Amendment,150 bowdoin st,33.89,Lunch - Nick Buller complete streets grant,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch - Staff,1/12/16,21st Amendment,150 bowdoin st,23.26,Lunch - Staff,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch after session,3/1/17,21st Amendment,bowdoin st,29.08,Lunch after session,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch Discussion With Labor Organization,9/28/16,21st Amendment,bowdoin st,40.51,Lunch Discussion With Labor Organization,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch during Senate Session,7/14/16,21st Amendment,115 bowdin st,54.3,Lunch during Senate Session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch for House Support staff,4/22/16,21st Amendment,150 bowdoin st,242.2,Lunch for House Support staff,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch for Interns Last Day,5/16/16,21st Amendment,150 bowdoin st,83.82,Lunch for Interns Last Day,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,8/30/16,21st Amendment,150 bowdin st,58.85,Lunch for Staff,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,5/27/16,21st Amendment,beacon st,31.42,Lunch for Staff,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,5/26/16,21st Amendment,beacon st,12.84,Lunch for Staff,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,5/24/17,21st Amendment,150 bowdin st,88.81,Lunch for Staff,Boston,MA,2110,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,3/16/17,21st Amendment,150 bodoin st,64,Lunch for staff,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch for Staff during Session,3/11/16,21st Amendment,150 bowdoin st,76.02,Lunch for Staff during Session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch for staff meeting,12/8/16,21st Amendment,150 bowdoin st,49.49,Lunch for staff meeting,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch for support staff of House,5/15/16,21st Amendment,,319.13,Lunch for support staff of House,Boston,Ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch for T.U.E. colleagues to discuss session,2/2/17,21st Amendment,bowdoin st,182.58,Lunch for T.U.E. colleagues to discuss session,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch for visiting Esparanza students,4/12/16,21st Amendment,150 bowdoin st,79.9,Lunch for visiting Esparanza  students,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch forT.U.E.,10/26/17,21st Amendment,,104.33,Lunch forT.U.E.,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,lunch meeting legislative issues,9/14/17,21st Amendment,,41.73,lunch meeting legislative issues,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch Meeting To Discuss Upcoming Fundraisers,1/28/16,21st Amendment,150 bowdoin st,54.8,Lunch Meeting To Discuss Upcoming Fundraisers,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,12/20/17,21st Amendment,150 bowdoin st,134,Lunch Meeting W/ Colleague To Discuss Next Year's Leg. Schedule,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,1/3/17,21st Amendment,150 bowdoin st,66,Lunch Meeting W/ Colleagues After Swearing-in Ceremony,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch Meeting W/ Staff To Discuss Budget,3/2/16,21st Amendment,150 bowdoin st,57.8,Lunch Meeting W/ Staff To Discuss Budget,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,"Lunch meeting w/staff, continuation of upcoming 2017 session",11/9/16,21st Amendment,,66.57,"Lunch meeting w/staff, continuation of upcoming 2017 session ",Boston,Ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,6/24/16,21st Amendment,150 bowdoin st,85.89,Lunch Meeting With Colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,3/4/16,21st Amendment,150 bowdoin st,73.12,Lunch Meeting with Colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,2/26/16,21st Amendment,150 bowdoin st,79.5,Lunch Meeting with Colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,1/26/16,21st Amendment,150 bowdoin st,34.43,Lunch meeting with colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,2/9/16,21st Amendment,150 bowdoin st,28.22,Lunch meeting with colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,1/6/16,21st Amendment,150 bowdoin st,48.13,Lunch meeting with colleagues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,4/11/17,21st Amendment,150 bowdoin st,59.04,Lunch meeting with colleagues to discuss budget,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,2/5/16,21st Amendment,150 bowdoin st,74.9,lunch meeting with committee members,Boston,Ma,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,6/10/16,21st Amendment,150 bowdoin st,34.62,Lunch Meeting with House Colleague,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,3/25/16,21st Amendment,150 bowdoin st,37.03,Lunch Meeting with House Colleague,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,3/7/16,21st Amendment,150 bowdoin st,37.57,Lunch Meeting with House Colleague,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch Members of US Chamber discussing committee hearing and Cyber legislation,11/15/17,21st Amendment,150 bowdoin st,59.49,Lunch Members of US Chamber discussing committee hearing and Cyber legislation,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch Mtg Re:judiciary Committee,9/20/17,21st Amendment,150 bowdoin st,109.41,Lunch Mtg Re:judiciary Committee,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch Mtg Re:judiciary Committee Issues,9/8/17,21st Amendment,150 bowdoin st,54.67,Lunch Mtg Re:judiciary Committee Issues,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch to discuss financial services matter with colleagues,7/28/17,21st Amendment,150 bowdoin st,77,Lunch to discuss financial services matter with colleagues,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch W/ Staff To Coordinate Schedule,6/9/17,21st Amendment,150 bowdoin st,76.53,Lunch W/ Staff To Coordinate Schedule,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch W/ Staff To Discuss Year Schedule,1/30/17,21st Amendment,150 bowdoin st,52.39,Lunch W/ Staff To Discuss Year Schedule,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,lunch w/collegues to dicuss district issues,8/28/16,21st Amendment,,64.43,lunch w/collegues to dicuss district issues,Boston,Ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch w/constituents /state house tour,4/20/17,21st Amendment,150 bowdoin st,89.02,Lunch w/constituents /state house tour,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch w/FCM re: winter events 2017.,11/13/17,21st Amendment,150 bowdoin st,80.14,Lunch w/FCM  re: winter events 2017.,Boston,MA,02108-2702,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch with colleage to discuss end of session,8/5/16,21st Amendment,150 bowdoin st,27,Lunch with colleage to discuss end of session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch with Colleages to go over Upcoming Legislative Agenda,2/26/16,21st Amendment,150 bowdoin st,111.01,Lunch with Colleages to go over Upcoming Legislative Agenda,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch with colleague to discuss Boston issue,11/4/16,21st Amendment,150 bowdoin st,44,Lunch with colleague to discuss Boston issue,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch with colleague to discuss city issue,10/4/17,21st Amendment,150 bowdoin st,38,Lunch with colleague to discuss city issue,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch with colleague to discuss Financial Services issues,12/20/17,21st Amendment,150 bowdoin st,44,Lunch with colleague to discuss Financial Services issues,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch with Colleague to Discuss Legislative Issues,5/8/17,21st Amendment,150 bowdoin st,42.31,Lunch with Colleague to Discuss Legislative Issues,Boston,MA,02108-2702,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Lunch with colleague to discuss session,1/15/16,21st Amendment,150 bowdoin st,34,Lunch with colleague to discuss session,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
